Time (milliseconds),X,Y,Z
3545879,-120,12,-980
3545900,-124,12,-988
3545920,-124,12,-1000
3545940,-116,16,-992
3545961,-116,16,-992
3545981,-120,20,-1004
3546001,-124,12,-996
3546021,-120,24,-988
3546041,-116,16,-988
3546062,-124,12,-996
3546086,-116,20,-992
3546102,-128,28,-1000
3546123,-116,24,-996
3546144,-116,24,-1004
3546164,-112,20,-1008
3546184,-112,36,-1000
3546204,-112,32,-1008
3546224,-120,44,-1016
3546244,-116,52,-1016
3546264,-120,44,-1016
3546285,-116,56,-1020
3546305,-124,56,-1028
3546330,-124,60,-1028
3546346,-124,68,-1024
3546366,-120,68,-1024
3546386,-128,80,-1024
3546407,-120,80,-1036
3546427,-132,80,-1040
3546447,-124,84,-1044
3546468,-132,92,-1064
3546488,-128,92,-1052
3546508,-128,92,-1056
3546529,-132,96,-1056
3546549,-128,96,-1048
3546574,-128,92,-1052
3546589,-132,96,-1056
3546610,-132,96,-1052
3546630,-128,100,-1056
3546650,-132,100,-1064
3546671,-132,104,-1060
3546691,-128,100,-1052
3546711,-128,108,-1052
3546732,-120,104,-1052
3546752,-132,96,-1048
3546772,-128,108,-1044
3546798,-132,104,-1048
3546813,-136,108,-1048
3546833,-132,104,-1044
3546853,-128,96,-1040
3546873,-132,100,-1040
3546894,-136,100,-1056
3546914,-132,104,-1036
3546934,-128,108,-1040
3546955,-120,96,-1040
3546975,-120,100,-1028
3546996,-124,96,-1032
3547018,-128,92,-1024
3547036,-124,88,-1024
3547057,-124,92,-1036
3547077,-128,96,-1040
3547097,-124,92,-1028
3547117,-132,96,-1028
3547137,-124,92,-1020
3547158,-124,84,-1000
3547178,-120,80,-996
3547198,-124,72,-984
3547219,-116,68,-988
3547239,-128,64,-984
3547262,-116,76,-976
3547280,-112,64,-976
3547300,-120,72,-976
3547321,-120,64,-976
3547341,-120,64,-976
3547361,-120,60,-972
3547381,-112,48,-968
3547401,-108,52,-964
3547421,-116,44,-960
3547442,-104,32,-948
3547462,-116,32,-952
3547482,-108,32,-952
3547506,-104,32,-948
3547523,-100,28,-936
3547544,-112,36,-952
3547563,-108,40,-944
3547584,-100,20,-948
3547604,-108,28,-956
3547624,-112,20,-948
3547645,-104,16,-948
3547665,-116,24,-956
3547685,-112,12,-952
3547706,-108,16,-956
3547726,-100,16,-948
3547754,-108,20,-956
3547766,-116,12,-956
3547787,-108,8,-968
3547807,-108,8,-960
3547827,-116,20,-964
3547848,-112,8,-960
3547868,-116,4,-952
3547888,-112,20,-968
3547909,-116,12,-976
3547929,-112,16,-984
3547949,-116,12,-980
3547969,-120,4,-980
3547990,-108,8,-984
3548014,-112,4,-968
3548030,-108,4,-980
3548051,-112,4,-984
3548071,-116,12,-984
3548091,-112,-4,-980
3548112,-104,16,-996
3548132,-112,8,-988
3548152,-116,12,-992
3548173,-112,24,-1004
3548193,-112,16,-1004
3548213,-112,20,-992
3548233,-104,20,-1004
3548258,-104,20,-996
3548274,-116,24,-1008
3548294,-116,36,-1016
3548315,-120,36,-1008
3548335,-120,44,-1016
3548355,-108,48,-1016
3548376,-124,48,-1020
3548396,-120,52,-1012
3548416,-128,56,-1020
3548437,-128,56,-1032
3548457,-136,60,-1028
3548477,-128,60,-1028
3548606,-132,88,-1064
3548610,-132,88,-1064
3548614,-132,88,-1064
3548618,-132,88,-1064
3548622,-136,92,-1060
3548626,-136,92,-1060
3548630,-136,92,-1060
3548640,-144,96,-1060
3548660,-136,108,-1068
3548680,-144,92,-1064
3548701,-140,96,-1060
3548730,-144,96,-1064
3548741,-136,96,-1060
3548761,-136,104,-1064
3548781,-132,104,-1064
3548802,-136,100,-1060
3548822,-136,108,-1060
3548842,-136,104,-1060
3548863,-140,104,-1060
3548883,-140,108,-1052
3548903,-140,108,-1056
3548923,-132,108,-1048
3548943,-140,108,-1048
3548966,-132,108,-1044
3548985,-132,104,-1040
3549004,-132,104,-1044
3549025,-128,104,-1044
3549045,-128,108,-1052
3549065,-136,108,-1044
3549086,-132,104,-1040
3549106,-124,100,-1028
3549126,-124,88,-1016
3549147,-132,88,-1012
3549167,-124,84,-1008
3549190,-124,84,-1012
3549207,-124,72,-1016
3549228,-128,76,-1008
3549248,-124,84,-1004
3549268,-124,72,-1008
3549289,-124,76,-976
3549309,-124,64,-976
3549329,-120,56,-984
3549350,-124,64,-976
3549370,-116,64,-984
3549390,-128,60,-988
3549411,-116,56,-984
3549434,-116,48,-980
3549451,-120,48,-972
3549471,-116,40,-968
3549492,-104,36,-960
3549512,-108,28,-948
3549532,-104,24,-960
3549553,-100,32,-952
3549573,-104,16,-944
3549593,-104,24,-936
3549613,-108,32,-956
3549634,-100,12,-952
3549654,-96,24,-952
3549678,-100,12,-944
3549695,-100,16,-952
3549715,-104,20,-940
3549735,-112,20,-944
3549756,-108,24,-952
3549776,-108,8,-968
3549796,-108,12,-952
3549817,-116,20,-968
